место,"регион, страна",млрд. долл.,%
Азия,2 409.7,100
субрегионы
1,Восточная Азия,1 603.2,66.5
2,Южная Азия,326.2,13.5
3,Юго-Восточная Азия,232.5,9.6
4,Западная Азия,224.5,9.3
5,Центральная Азия,23.3,0.97
страны
1,Китай,1 237.7,51.4
2,Индия,257.9,10.7
3,Япония,235.0,9.8
4,Индонезия,128.8,5.3
5,Южная Корея,86.8,3.6
6,Саудовская Аравия,49.8,2.1
7,Бангладеш,40.3,1.7
8,ОАЭ,37.5,1.6
9,Филиппины,29.6,1.2
10,Израиль,29.2,1.2
11,Катар,27.3,1.1
12,Вьетнам,25.3,1.1
13,Гонг Конг,15.0,0.62
14,Малайзия,13.8,0.57
15,Тайланд,12.5,0.52
16,Сингапур,12.2,0.51
17,Казахстан,11.9,0.49
18,Иран,10.2,0.42
19,Оман,10.0,0.41
20,Пакистан,9.0,0.37
21,Шри Ланка,6.1,0.25
22,Ирак,6.0,0.25
23,Узбекистан,5.0,0.21
24,Туркменистан,4.8,0.20
25,Кувейт,4.4,0.18
26,Камбоджа,4.4,0.18
27,Мьянма,4.0,0.16
28,Азербайджан,3.8,0.16
29,Бахрейн,3.5,0.15
30,Непал,2.0,0.081
31,Макао,1.7,0.072
32,Грузия,1.7,0.071
33,Северная Корея,1.6,0.068
34,Лаос,1.4,0.060
35,Кипр,1.4,0.058
36,Иордания,1.3,0.055
37,Армения,1.3,0.055
38,Ливан,1.1,0.046
39,Палестина,0.95,0.040
40,Таджикистан,0.83,0.034
41,Киргизстан,0.81,0.034
42,Монголия,0.57,0.024
43,Йемен,0.56,0.023
44,Мальдивы,0.38,0.016
45,Бруней,0.32,0.013
46,Бутан,0.23,0.0095
47,Сирия,0.18,0.0076
48,Восточный Тимор,0.15,0.0063
49,Афганистан,0.14,0.0059
